,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
273,Kalmunai,7.4167,81.8167,77.29,80,100,10.09,LK,1612457586
274,Sola,-13.8833,167.55,79.41,84,65,8.7,VU,1612457587
275,Jhawarian,32.3614,72.6228,56.23,53,7,2.17,PK,1612457588
276,Brigham City,41.5102,-112.0155,32.0,59,90,9.22,US,1612457589
277,Kumul,42.8,93.45,27.63,84,3,0.89,CN,1612457590
278,Rocha,-34.4833,-54.3333,72.59,59,75,19.04,UY,1612457592
279,Corrente,-3.7367,-43.3394,92.08,45,15,5.57,BR,1612457593
280,Mgandu,-5.95,34.1333,64.24,88,54,2.35,TZ,1612457594
281,Narsaq,60.9167,-46.05,17.6,41,20,5.91,GL,1612457595
282,Yuci,37.6803,112.7319,30.2,34,0,4.47,CN,1612457596
283,Faanui,-16.4833,-151.75,80.92,67,7,4.61,PF,1612457597
284,Nome,64.5011,-165.4064,-2.2,50,90,10.36,US,1612457598
285,Ribeirão Branco,-24.2208,-48.7656,84.2,57,99,7.81,BR,1612457600
286,Cabo San Lucas,22.8909,-109.9124,73.4,38,20,2.3,MX,1612457601
287,Kendari,-3.945,122.4989,76.48,90,100,3.02,ID,1612457602
288,Kano,12.0001,8.5167,84.2,13,0,10.36,NG,1612457603
289,Dingle,10.9995,122.6711,74.44,92,52,7.52,PH,1612457604
290,Praia,14.9215,-23.5087,73.4,64,0,24.16,CV,1612457605
291,Pedro Juan Caballero,-22.5472,-55.7333,77.0,78,90,9.22,PY,1612457470
292,Mardin,37.3131,40.7436,55.4,71,75,3.44,TR,1612457608
293,Lanzhou,36.0564,103.7922,35.01,38,48,2.08,CN,1612457609
294,Botwood,49.1499,-55.3482,42.01,96,84,3.69,CA,1612457610
295,Belém de São Francisco,-8.7539,-38.9658,95.27,27,0,5.88,BR,1612457611
296,Mount Gambier,-37.8333,140.7667,55.4,100,90,19.57,AU,1612457612
297,Marigot,18.0667,-63.0833,84.2,65,20,16.11,MF,1612457613
298,Tessalit,20.1986,1.0114,85.98,11,1,10.94,ML,1612457614
299,Katangli,51.7102,143.2326,-13.18,83,100,14.29,RU,1612457617
300,Dubbo,-32.25,148.6167,71.6,68,90,8.05,AU,1612457618
301,Aswān,24.0934,32.907,64.81,36,0,10.02,EG,1612457584
302,Baní,18.2833,-70.3333,84.2,65,20,11.5,DO,1612457620
303,Yar-Sale,66.8333,70.8333,-24.32,86,46,7.4,RU,1612457621
304,Varhaug,58.6147,5.6457,19.99,73,0,5.75,NO,1612457622
305,Aksarka,66.5606,67.7975,-15.3,89,89,5.7,RU,1612457623
306,Jiujiang,29.7333,115.9833,50.81,87,100,7.4,CN,1612457625
307,Vestmanna,62.1564,-7.1664,33.8,69,20,17.27,FO,1612457627
308,Bartica,6.4,-58.6167,84.2,70,75,18.41,GY,1612457628
309,Lompoc,34.6391,-120.4579,52.0,81,1,3.44,US,1612457629
310,Shahr-e Bābak,30.1165,55.1186,49.39,40,0,2.98,IR,1612457630
311,Morondava,-20.2833,44.2833,86.02,79,34,8.77,MG,1612457632
312,Ribeira Grande,38.5167,-28.7,55.4,62,40,5.75,PT,1612457634
313,Cocorit,27.5833,-109.9667,64.4,48,75,0.94,MX,1612457635
314,Chu,43.5983,73.7614,34.0,67,74,5.99,KZ,1612457636
315,Río Gallegos,-51.6226,-69.2181,73.4,40,40,26.46,AR,1612457638
316,Palmares do Sul,-30.2578,-50.5097,81.3,56,46,20.07,BR,1612457588
317,Verkhoyansk,67.5447,133.385,-42.86,72,31,2.01,RU,1612457460
318,Mnogovershinnyy,53.9353,139.9242,-18.99,88,100,9.33,RU,1612457642
319,Pevek,69.7008,170.3133,-13.45,78,0,8.3,RU,1612457643
320,Tautira,-17.7333,-149.15,75.2,88,20,2.3,PF,1612457422
321,Ahipara,-35.1667,173.1667,59.04,87,4,4.32,NZ,1612457405
322,Tierralta,8.1736,-76.0592,86.97,62,95,6.11,CO,1612457646
323,Deloraine,-41.5333,146.6667,63.0,93,97,3.76,AU,1612457647
324,Departamento de Maldonado,-34.6667,-54.9167,75.2,60,75,24.16,UY,1612457604
325,Ningxiang,37.34,111.2052,30.43,70,100,5.59,CN,1612457651
326,Damietta,31.4165,31.8133,64.4,82,40,11.5,EG,1612457652
327,Benguela,-12.5763,13.4055,80.33,70,1,9.84,AO,1612457653
328,Voh,-20.9667,164.7,75.09,90,42,4.12,NC,1612457654
329,Cabedelo,-6.9811,-34.8339,87.8,58,40,13.8,BR,1612457418
330,Dwārka,22.2394,68.9678,70.07,70,0,10.4,IN,1612457656
331,Souillac,-20.5167,57.5167,80.6,78,40,10.36,MU,1612457657
332,Khorramabad,33.4878,48.3558,55.0,45,98,0.96,IR,1612457659
333,Bowen,-20.0167,148.2333,73.4,94,75,6.91,AU,1612457660
334,San Jose,37.3394,-121.895,50.0,66,20,3.44,US,1612457662
335,Portland,45.5234,-122.6762,42.01,90,99,1.99,US,1612457411
336,Bethel,41.3712,-73.414,35.01,55,40,12.66,US,1612457420
337,Isangel,-19.55,169.2667,77.94,81,78,7.18,VU,1612457665
338,Touros,-5.1989,-35.4608,87.8,58,40,18.41,BR,1612457666
339,Manggar,-2.8833,108.2667,79.14,82,68,11.32,ID,1612457668
340,Inhapim,-19.5492,-42.12,81.9,61,55,6.44,BR,1612457669
341,Mufumbwe,-13.6833,24.8,70.86,82,56,3.22,ZM,1612457670
342,Bonavista,48.6499,-53.1147,41.0,100,77,3.44,CA,1612457671
343,Kawalu,-7.3817,108.2082,73.4,89,100,3.11,ID,1612457672
344,Takelsa,36.7833,10.6333,68.0,52,20,2.3,TN,1612457673
345,Chittarkonda,18.1167,82.0833,61.5,58,5,3.49,IN,1612457674
346,Mbini,1.574,9.6134,84.2,84,40,4.61,GQ,1612457676
347,Bakau,13.4781,-16.6819,87.8,37,0,5.75,GM,1612457677
348,Methven,-43.6333,171.65,40.03,87,0,1.45,NZ,1612457679
349,Cotonou,6.3654,2.4183,89.6,70,20,13.8,BJ,1612457680
350,Evans,33.5337,-82.1307,50.0,46,97,1.99,US,1612457619
351,Porto-Novo,6.4965,2.6036,89.6,70,20,13.8,BJ,1612457682
352,Ormara,25.2088,64.6357,70.65,45,0,7.96,PK,1612457683
353,Husavik,66.0449,-17.3389,24.8,74,20,3.44,IS,1612457685
354,Nioro,13.35,-15.75,101.55,8,21,4.76,GM,1612457686
355,Namatanai,-3.6667,152.4333,78.66,81,100,3.4,PG,1612457687
356,Det Udom,14.906,105.0784,71.6,73,0,8.05,TH,1612457688
357,Kahului,20.8947,-156.47,66.2,88,90,5.75,US,1612457689
358,Georgiyevka,43.0369,74.7114,33.8,86,86,2.24,KZ,1612457690
359,Caravelas,-17.7125,-39.2481,86.2,54,0,10.89,BR,1612457691
360,Belmonte,-15.8631,-38.8828,84.2,74,20,10.36,BR,1612457694
361,Alofi,-19.0595,-169.9187,75.2,100,100,2.3,NU,1612457695
362,Constitución,-35.3333,-72.4167,72.16,56,71,5.82,CL,1612457696
363,Dolores,-36.3132,-57.6792,84.96,26,0,12.97,AR,1612457697
364,Codrington,-38.2667,141.9667,69.89,44,100,12.24,AU,1612457698
365,Bang Sai,14.2124,100.4966,84.99,65,0,3.44,TH,1612457699
366,Zhalantun,48.0,122.7167,-1.41,87,100,1.19,CN,1612457700
367,Necochea,-38.5473,-58.7368,78.01,53,0,15.21,AR,1612457703
368,Pombas,17.1503,-25.0201,75.2,60,40,33.38,CV,1612457704
369,Casa Nova,-9.4167,-41.1333,91.4,38,75,9.22,BR,1612457705
370,La Ronge,55.1001,-105.2842,-11.2,77,76,3.44,CA,1612457706
371,Deputatsky,69.3,139.9,-15.11,91,99,4.59,RU,1612457708
372,Moerai,-22.4333,-151.3333,80.73,72,18,9.69,PF,1612457710
373,Lebu,-37.6167,-73.65,71.42,50,0,6.73,CL,1612457712
374,Talnakh,69.4865,88.3972,-22.23,86,97,1.57,RU,1612457713
375,Kaeo,-35.1,173.7833,60.01,91,50,5.01,NZ,1612457426
376,Black River,18.0264,-77.8487,82.99,73,40,24.16,JM,1612457716
377,Marawi,7.9986,124.2928,75.0,93,59,5.99,PH,1612457556
378,Esmeraldas,-19.7625,-44.3139,87.8,45,40,6.91,BR,1612457718
379,Bidor,4.1139,101.2884,80.6,73,20,3.44,MY,1612457720
380,Ewo,-0.8725,14.8206,82.49,67,67,3.8,CG,1612457721
381,Merauke,-8.4667,140.3333,79.72,87,97,13.18,ID,1612457722
382,Nagutskoye,44.4415,42.8762,50.0,57,91,4.47,RU,1612457723
383,Russell,32.3502,-85.1999,48.0,53,1,5.75,US,1612457724
384,Sohbatpur,28.5202,68.5434,58.35,33,0,2.01,PK,1612457725
385,Olafsvik,64.8945,-23.7142,38.84,79,100,36.71,IS,1612457728
386,Lexington-Fayette,38.0498,-84.4585,35.01,64,40,13.8,US,1612457490
387,Shimoda,34.6667,138.95,35.01,62,0,3.0,JP,1612457730
388,Ampére,-25.915,-53.4728,78.03,69,86,6.11,BR,1612457731
389,Christchurch,-43.5333,172.6333,46.99,87,90,1.14,NZ,1612457500
390,Safaga,26.7292,33.9365,71.6,28,0,13.8,EG,1612457733
391,Leshukonskoye,64.8989,45.7622,7.34,95,100,9.84,RU,1612457735
392,Marquette,46.5333,-87.6335,37.0,72,100,8.01,US,1612457736
393,Obigarm,38.7173,69.7088,29.98,75,2,6.76,TJ,1612457738
394,Makubetsu,45.3714,141.8211,12.63,94,100,25.01,JP,1612457739
395,Hualmay,-11.0964,-77.6139,76.26,61,93,9.31,PE,1612457740
396,Joshīmath,30.5667,79.5667,41.23,59,100,1.1,IN,1612457741
397,Charters Towers,-20.1,146.2667,73.78,87,53,10.22,AU,1612457743
398,Lichinga,-13.3128,35.2406,69.8,94,75,5.75,MZ,1612457744
399,Vila,42.0304,-8.1588,50.0,87,99,1.01,PT,1612457745
400,Tigil',57.8,158.6667,0.59,87,100,1.21,RU,1612457747
401,Jacqueville,5.2052,-4.4146,87.8,79,20,13.8,CI,1612457748
402,San Antonio del Tachira,7.8145,-72.4431,89.6,40,20,4.61,VE,1612457749
403,Havøysund,70.9963,24.6622,32.0,86,75,25.32,NO,1612457751
404,Tiksi,71.6872,128.8694,-24.77,86,98,3.42,RU,1612457752
405,Xiaoshi,41.2971,124.1209,26.6,54,0,8.95,CN,1612457753
406,Ilulissat,69.2167,-51.1,-0.4,32,1,12.66,GL,1612457754
407,Kutum,14.2,24.6667,65.43,26,22,14.34,SD,1612457755
408,Chișinău,47.0056,28.8575,46.4,87,0,10.36,MD,1612457756
409,Nerchinskiy Zavod,51.3088,119.61,-14.57,89,99,0.74,RU,1612457757
410,Taoudenni,22.6783,-3.9836,91.56,10,24,13.29,ML,1612457758
411,Santa Rosalía,27.3167,-112.2833,73.0,39,87,2.98,MX,1612457760
412,Louveira,-23.0864,-46.9506,86.0,58,75,9.22,BR,1612457761
413,Beringovskiy,63.05,179.3167,-1.14,92,100,21.09,RU,1612457762
414,Hasaki,35.7333,140.8333,28.4,69,0,2.3,JP,1612457763
415,Balabac,7.9868,117.0645,79.86,83,99,12.17,PH,1612457764
416,Puerto Quijarro,-17.7833,-57.7667,87.06,79,72,5.06,BO,1612457765
417,Impfondo,1.6381,18.0667,82.2,60,87,3.8,CG,1612457767
418,Miles City,46.4083,-105.8406,15.8,79,90,13.18,US,1612457768
419,North Platte,41.1239,-100.7654,32.0,69,1,13.8,US,1612457701
420,Mahina,-17.5065,-149.489,75.2,88,20,2.3,PF,1612457770
421,Berlevåg,70.8578,29.0864,26.6,93,40,12.66,NO,1612457771
422,Abu Samrah,35.3029,37.1841,54.97,64,100,8.37,SY,1612457772
423,Bambous Virieux,-20.3428,57.7575,81.0,78,40,10.36,MU,1612457709
424,Mīzan Teferī,6.9833,35.5833,71.91,43,20,2.1,ET,1612457774
425,Port Hawkesbury,45.6169,-61.3485,41.0,93,90,8.05,CA,1612457776
426,Dhārchula,29.85,80.5333,48.87,51,96,3.47,IN,1612457777
427,Westport,41.1415,-73.3579,37.99,52,1,18.41,US,1612457545
428,Mareeba,-17.0,145.4333,77.0,88,40,5.75,AU,1612457779
429,Tarrafal,15.2833,-23.7667,73.4,64,0,24.16,CV,1612457780
430,Nālūt,30.3333,10.85,65.71,27,98,8.66,LY,1612457781
431,Uvel'skiy,54.4446,61.3574,21.96,98,84,6.46,RU,1612457782
432,Torbay,47.6666,-52.7314,48.2,100,90,5.48,CA,1612457783
433,Indian Head,38.6001,-77.1622,45.0,26,1,13.8,US,1612457785
434,Tombouctou,20.0,-3.0,87.76,9,0,8.9,ML,1612457786
435,Katherine,-14.4667,132.2667,78.8,89,90,6.91,AU,1612457787
436,Nanortalik,60.1432,-45.2371,22.69,81,100,4.61,GL,1612457788
437,Amapá,1.0,-52.0,80.37,92,69,2.98,BR,1612457789
438,Beyneu,45.3167,55.2,46.58,62,99,7.83,KZ,1612457790
439,Mackay,-21.15,149.2,78.8,83,75,8.05,AU,1612457792
440,Lalín,42.7167,-8.1167,55.0,93,75,4.61,ES,1612457793
441,Yei,4.095,30.6779,84.45,22,31,3.0,SS,1612457794
442,Port Washington,40.8257,-73.6982,37.99,48,20,16.11,US,1612457774
443,Koslan,63.4564,48.8989,14.58,96,100,8.55,RU,1612457797
444,St. George's,12.0564,-61.7485,84.2,70,20,32.21,GD,1612457798
445,Flinders,-34.5833,150.8552,72.0,86,58,1.99,AU,1612457800
446,Chamba,32.5667,76.1333,47.98,61,100,1.16,IN,1612457801
447,Patacamaya,-17.2333,-67.9167,58.01,49,94,4.94,BO,1612457802
448,Puerto Escondido,15.85,-97.0667,82.4,78,40,5.75,MX,1612457604
449,Karia,11.7306,11.1629,84.38,15,0,11.27,NG,1612457804
450,Vardø,70.3705,31.1107,26.6,68,75,18.41,NO,1612457805
451,Muli,2.9167,73.5667,82.31,76,100,16.96,MV,1612457806
452,Shrewsbury,52.7101,-2.7521,44.6,93,75,9.22,GB,1612457808
453,Champerico,14.3,-91.9167,82.4,69,75,6.91,GT,1612457810
454,Harper,4.375,-7.7169,82.83,76,22,8.88,LR,1612457811
455,Tournon-sur-Rhône,45.0667,4.8333,51.01,87,0,3.62,FR,1612457812
456,Estevan,49.1334,-102.9842,-2.0,71,1,21.85,CA,1612457736
457,Calvinia,-31.4707,19.776,78.3,27,0,13.27,ZA,1612457814
458,Acajutla,13.5928,-89.8275,82.4,44,0,6.49,SV,1612457816
459,Abū Zabad,12.35,29.25,77.04,18,100,14.2,SD,1612457817
460,Bambanglipuro,-7.95,110.2833,76.86,89,100,3.18,ID,1612457775
461,Lloydminster,53.2835,-110.0016,-9.4,77,75,5.75,CA,1612457538
462,San Fernando del Valle de Catamarca,-28.4696,-65.7852,87.01,46,6,4.0,AR,1612457696
463,Vaitape,-16.5167,-151.75,80.94,67,9,4.81,PF,1612457821
464,Igarka,67.4667,86.5833,-30.95,84,68,4.9,RU,1612457822
465,Katobu,-4.9408,122.5276,75.92,93,100,2.37,ID,1612457823
466,Mondolfo,43.7494,13.0979,48.99,100,90,4.61,IT,1612457826
467,Galle,6.0367,80.217,78.96,80,99,5.97,LK,1612457716
468,Rawson,-43.3002,-65.1023,94.87,14,0,10.69,AR,1612457828
469,Malbork,54.0359,19.0266,30.0,80,40,4.61,PL,1612457829
470,Beloha,-25.1667,45.05,82.71,63,77,11.34,MG,1612457831
471,Brae,60.3964,-1.353,35.6,60,40,11.5,GB,1612457833
472,Quibdó,5.6947,-76.6611,87.93,66,86,2.01,CO,1612457834
473,Hāgere Hiywet,8.9833,37.85,68.41,27,44,2.26,ET,1612457835
474,Tokonou,9.65,-9.7833,98.46,15,1,2.13,GN,1612457836
475,Northam,51.0333,-4.2167,48.0,93,74,1.01,GB,1612457837
476,Kosiv,48.3107,25.0958,37.94,80,68,9.6,UA,1612457838
477,Mt. Pleasant,32.7941,-79.8626,53.01,40,1,5.41,US,1612457839
478,Albanel,48.8832,-72.4487,24.8,63,19,5.75,CA,1612457840
479,Lokosovo,61.1333,74.8167,-6.54,92,99,6.29,RU,1612457842
480,Paoua,7.2427,16.4406,86.29,15,8,3.65,CF,1612457844
481,Soe,-9.8607,124.284,65.91,100,100,4.76,ID,1612457845
482,Bilma,18.6853,12.9164,67.26,24,13,3.96,NE,1612457846
483,Ambilobe,-13.2,49.05,77.34,90,100,2.35,MG,1612457847
484,Andenes,69.3143,16.1194,33.8,86,75,14.97,NO,1612457850
485,Aktas,49.7789,72.9608,30.2,74,75,13.42,KZ,1612457851
486,Arman',59.7,150.1667,-4.22,81,91,14.47,RU,1612457852
487,Kruisfontein,-34.0033,24.7314,72.0,77,70,5.99,ZA,1612457853
488,Bonfim,3.0833,-59.95,91.4,49,36,12.53,BR,1612457854
489,Mahibadhoo,3.7833,72.9667,82.26,71,98,16.73,MV,1612457855
490,Nazaré,-13.035,-39.0144,88.63,55,75,8.75,BR,1612457856
491,Neiafu,-18.65,-173.9833,78.8,94,75,9.22,TO,1612457857
492,Kiama,-34.6833,150.8667,72.0,82,57,3.0,AU,1612457859
493,Barcelos,41.5388,-8.6151,55.0,87,40,4.61,PT,1612457860
494,Belaya Gora,68.5333,146.4167,-9.56,87,98,11.36,RU,1612457861
495,Sydney,-33.8679,151.2073,73.99,83,75,6.91,AU,1612457706
496,Nanzhou,29.3596,112.4024,46.81,93,99,8.37,CN,1612457863
497,Karwar,14.8,74.1333,76.14,69,13,6.4,IN,1612457864
498,Whyalla,-33.0333,137.5833,57.2,72,40,10.36,AU,1612457865
499,Bantry,51.6833,-9.45,46.4,93,75,8.05,IE,1612457819
500,Cam Ranh,11.9214,109.1591,75.2,73,40,10.36,VN,1612457868
501,Bosaso,11.2842,49.1816,74.89,64,0,8.57,SO,1612457869
502,Zemio,5.0314,25.1361,87.75,28,87,3.53,CF,1612457827
503,Monrovia,6.3005,-10.7969,87.8,70,75,12.66,LR,1612457871
504,Bagdarin,54.4333,113.6,-10.05,85,35,3.47,RU,1612457872
505,Skegness,53.1436,0.3363,46.99,87,40,8.05,GB,1612457873
506,Challapata,-18.9,-66.7667,57.02,48,64,3.87,BO,1612457874
507,Manokwari,-0.8667,134.0833,78.04,81,100,4.65,ID,1612457876
508,Flin Flon,54.7682,-101.865,-5.8,77,90,10.36,CA,1612457621
509,Los Llanos de Aridane,28.6585,-17.9182,68.0,45,40,9.22,ES,1612457878
510,Porto Velho,-8.7619,-63.9039,86.0,74,40,3.44,BR,1612457880
511,Al Bardīyah,31.7561,25.0865,59.77,79,0,12.86,LY,1612457883
512,Saldanha,-33.0117,17.9442,73.4,60,0,21.85,ZA,1612457885
513,Ternate,0.8,127.4,80.35,78,93,3.65,ID,1612457886
514,Sur,22.5667,59.5289,66.92,72,0,1.95,OM,1612457887
515,Tūkrah,32.5341,20.5791,58.84,79,0,5.77,LY,1612457888
516,Tayoltita,24.0833,-105.9333,80.44,16,43,1.72,MX,1612457889
517,Kozan,37.4552,35.8157,64.0,51,0,9.22,TR,1612457711
518,Muborak,39.2553,65.1528,52.84,52,21,6.6,UZ,1612457891
519,Campo Maior,-4.8278,-42.1686,94.23,41,24,3.8,BR,1612457893
520,Tengzhou,35.0771,117.1518,42.24,60,100,6.82,CN,1612457894
521,Toktogul,41.8708,72.9402,31.44,69,56,1.86,KG,1612457895
522,Bay Roberts,47.5999,-53.2648,46.0,100,75,2.3,CA,1612457896
523,Ouadda,8.0777,22.4007,84.13,21,40,3.6,CF,1612457897
524,Haines Junction,60.7522,-137.5108,-22.0,69,100,1.54,CA,1612457898
525,Khorixas,-20.3667,14.9667,83.48,34,51,17.76,NA,1612457899
526,Abu Dhabi,24.4667,54.3667,69.8,68,0,5.75,AE,1612457693
527,Campana,-34.1687,-58.9591,80.01,33,0,3.0,AR,1612457902
528,Tsabong,-26.0217,22.401,82.02,50,11,7.83,BW,1612457903
529,Yulara,-25.2406,130.9889,71.6,64,90,12.66,AU,1612457904
530,Caucaia,-3.7361,-38.6531,86.0,62,20,16.11,BR,1612457890
531,Rodrigues Alves,-7.738,-72.6509,84.58,79,99,3.02,BR,1612457906
532,Coyhaique,-45.5752,-72.0662,80.6,32,0,4.61,CL,1612457907
533,Khojaly District,39.913,46.7903,52.29,47,100,3.56,AZ,1612457908
534,Meadow Lake,34.8014,-106.5436,50.0,36,20,8.05,US,1612457909
535,Novozaimka,56.4857,66.9241,14.9,95,100,10.22,RU,1612457911
536,Makkah al Mukarramah,21.4267,39.8261,78.96,53,30,16.02,SA,1612457912
537,Nayoro,44.3506,142.4578,6.76,92,90,4.85,JP,1612457913
538,Pangnirtung,66.1451,-65.7125,-0.4,85,90,18.41,CA,1612457914
539,Vao,-22.6667,167.4833,78.69,86,12,19.89,NC,1612457915
540,Nago,26.5881,127.9761,60.8,87,1,6.91,JP,1612457916
541,Coahuayana Viejo,18.7333,-103.6833,78.8,41,1,5.75,MX,1612457917
542,Honiara,-9.4333,159.95,77.58,83,100,6.42,SB,1612457919
543,Nuuk,64.1835,-51.7216,10.4,67,1,21.85,GL,1612457881
544,Buraidah,26.326,43.975,73.4,33,40,4.61,SA,1612457824
545,Thinadhoo,0.5333,72.9333,82.65,74,52,8.86,MV,1612457922
546,Fukuechō,32.6881,128.8419,48.63,53,0,9.37,JP,1612457923
547,Longhua,23.6137,114.1919,58.33,73,1,1.32,CN,1612457924
